x,y,Label
90,33,1
18,0,0
24,84,1
21,-32,0
-81,-56,0
-41,-55,0
-78,-57,0
47,75,1
-89,-85,0
-71,-26,0
36,8,0
-43,-90,0
-51,-25,0
0,51,0
-100,68,0
-23,77,0
-67,99,0
-4,64,0
93,34,1
-89,88,0
-99,69,0
82,-58,0
91,93,1
-99,-55,0
-30,17,0
-100,59,0
27,-47,0
51,87,1
3,-56,0
49,-20,0
-42,38,0
-9,-83,0
-43,-9,0
87,98,1
-63,87,0
-41,-22,0
-92,69,0
-35,-98,0
11,-82,0
-50,41,0
20,96,1
-27,-65,0
-75,-64,0
4,76,0
-61,-24,0
-20,75,0
-31,4,0
-91,96,0
7,55,0
-9,98,0
28,-10,0
69,-80,0
43,70,1
72,74,1
-15,98,0
-81,-40,0
2,70,0
-33,26,0
45,-13,0
-59,-29,0
-25,-7,0
-18,-82,0
8,-93,0
-40,-38,0
-95,75,0
-66,-88,0
-26,-70,0
67,-74,0
11,93,1
42,39,0
5,27,0
-39,80,0
-14,-84,0
84,-66,0
-69,-43,0
-43,-52,0
67,52,1
-34,92,0
-84,23,0
-71,-77,0
-84,-29,0
-54,-31,0
78,-40,0
-36,-91,0
-45,6,0
-51,-91,0
71,-86,0
86,-25,0
-39,87,0
-86,-91,0
39,68,1
-91,-43,0
61,32,0
-65,99,0
-63,-26,0
-85,-2,0
63,-54,0
-4,64,0
-75,71,0
75,93,1
-67,-71,0
-16,-26,0
-60,-86,0
29,-91,0
76,-23,0
-100,-48,0
51,-89,0
56,64,1
-94,-38,0
8,-63,0
3,-6,0
-74,20,0
92,71,1
-31,-8,0
43,-83,0
-27,80,0
44,95,1
8,-5,0
-49,-85,0
-17,-52,0
-71,46,0
34,-26,0
57,100,1
-57,37,0
-100,0,0
85,-81,0
66,36,1
-66,87,0
95,-69,0
-93,33,0
-14,-7,0
-88,-34,0
11,-53,0
-59,-48,0
72,-23,0
-25,-54,0
-81,-17,0
21,5,0
-31,-38,0
-55,-9,0
-1,69,0
-32,-57,0
89,-63,0
-28,64,0
-31,-75,0
84,84,1
94,53,1
84,-94,0
9,-96,0
12,40,0
16,15,0
85,-28,0
25,-75,0
87,55,1
0,-100,0
51,75,1
-35,-71,0
-66,12,0
78,29,1
91,-59,0
-62,-3,0
-62,42,0
82,-10,0
-68,-71,0
-57,-44,0
48,-85,0
3,-58,0
-71,-16,0
55,-73,0
32,20,0
-16,-21,0
-97,10,0
-23,-82,0
-51,9,0
-33,-2,0
-48,29,0
-84,40,0
59,43,1
97,-42,0
-77,-1,0
-23,-70,0
24,-5,0
-32,51,0
-17,-41,0
-67,79,0
-59,43,0
-51,-17,0
90,85,1
82,-74,0
-56,-82,0
-42,4,0
88,16,1
-73,-69,0
15,-62,0
5,-53,0
-51,-65,0
-84,-14,0
54,-5,0
21,52,0
-43,72,0
49,71,1
-62,-81,0
-57,-86,0
76,-8,0
97,26,1
-70,93,0
98,31,1
-5,69,0
-32,32,0
40,35,0
-50,7,0
-3,-23,0
32,-19,0
38,-63,0
-42,-37,0
24,-81,0
39,18,0
-2,-39,0
-99,-61,0
-3,-82,0
-32,-44,0
-32,-22,0
-80,-89,0
90,-17,0
-71,-73,0
-39,74,0
-57,-80,0
63,-6,0
-58,68,0
-44,-15,0
22,42,0
92,0,0
