Идентификационный номер,Пол,Цвет волос,Форма губ,Цвет глаз,Ширина лица,Высота лица,Длина носа
1,М,Брюнет,Четкая,Карие,19,18,6
2,М,Брюнет,Четкая,Карие,20,15,6
3,Ж,Брюнет,Четкая,Карие,20,17,5
4,Ж,Брюнет,Четкая,Карие,11,15,6
5,Ж,Блондин,Четкая,Карие,17,22,6
6,Ж,Брюнет,Четкая,Карие,19,20,4
7,Ж,Брюнет,Гладкая,Карие,20,25,7
8,Ж,Брюнет,Гладкая,Карие,11,23,6
9,М,Блондин,Гладкая,Карие,17,18,4
10,М,Брюнет,Четкая,Карие,12,25,7
11,М,Брюнет,Гладкая,Карие,19,17,5
12,М,Брюнет,Четкая,Карие,20,15,7
13,Ж,Блондин,Четкая,Карие,19,24,5
14,Ж,Блондин,Четкая,Карие,15,16,5
15,Ж,Блондин,Четкая,Карие,17,19,6
16,Ж,Брюнет,Четкая,Карие,11,15,4
17,М,Блондин,Гладкая,Карие,18,16,4
18,Ж,Блондин,Гладкая,Карие,18,16,6
19,М,Блондин,Гладкая,Карие,20,23,6
20,М,Брюнет,Четкая,Голубые,12,21,5
21,Ж,Брюнет,Гладкая,Голубые,15,21,6
22,Ж,Брюнет,Гладкая,Карие,12,23,6
23,Ж,Блондин,Четкая,Карие,11,19,7
24,М,Брюнет,Четкая,Карие,16,21,5
25,Ж,Блондин,Четкая,Голубые,10,23,7
26,М,Блондин,Четкая,Голубые,16,20,4
27,М,Брюнет,Четкая,Карие,15,15,5
28,М,Брюнет,Гладкая,Карие,16,18,5
29,М,Брюнет,Четкая,Карие,13,25,4
30,М,Брюнет,Четкая,Карие,11,19,5
31,М,Брюнет,Гладкая,Карие,17,25,5
32,Ж,Брюнет,Четкая,Карие,17,15,4
33,Ж,Блондин,Четкая,Карие,10,23,4
34,Ж,Блондин,Четкая,Карие,13,15,4
35,Ж,Блондин,Четкая,Карие,10,22,7
36,М,Блондин,Гладкая,Карие,17,18,5
37,М,Брюнет,Четкая,Карие,19,17,7
38,М,Брюнет,Четкая,Карие,16,15,6
39,М,Блондин,Четкая,Карие,18,20,6
40,М,Блондин,Четкая,Карие,13,25,6
41,Ж,Брюнет,Четкая,Карие,20,17,6
42,М,Брюнет,Гладкая,Карие,14,17,6
43,М,Блондин,Гладкая,Карие,20,20,7
44,М,Блондин,Четкая,Карие,16,19,5
45,Ж,Блондин,Гладкая,Карие,18,22,4
46,М,Брюнет,Четкая,Голубые,17,19,5
47,М,Брюнет,Четкая,Карие,19,20,6
48,Ж,Брюнет,Четкая,Карие,18,24,6
49,М,Брюнет,Четкая,Голубые,11,23,7
50,М,Брюнет,Четкая,Карие,13,23,5
51,Ж,Брюнет,Гладкая,Карие,16,22,4
52,Ж,Брюнет,Гладкая,Карие,19,24,5
53,М,Брюнет,Гладкая,Карие,11,21,6
