id,message,label
0,ihhihh ihhh,1
1,ihhiih hhiihii,1
2,hhhii hih,1
3,hhhi ihiiihi,1
4,hihhiiiihiihi iihihii,0
5,hihiihhh hiii,0
6,ihhhii iiihhi,1
7,hiiihiiii iiiiih,1
8,ihhiihih hhiii,1
9,hhhiihihiih hhhiii,0
10,iihihi hhihhiiiih,0
11,ihhih ihhhh,1
12,hhihhhhhhih iih,0
13,hhihhhhhhhihii hihhhh,0
14,ihhiiiihi ihiihihihi,1
15,hiih hhi,1
16,hhhhhiiihi hhih,0
17,hhii hhii,1
18,hiihhh hhihihh,1
19,hhihiihhihhiih hhiiiiihih,0
20,hhiiiih hihhhiiih,1
21,ihhihhhh ihhhhhi,1
22,hihh iiihi,1
23,ihhiihiiiiiihi iihi,0
24,hihihiiiihhih hhhi,0
25,hhihiiih ihhii,1
26,iiih ihiiihhih,0
27,hiihihhiihhhi ihhhhhh,0
28,iiiihihihi ihhhihhi,1
29,hhhiihiiihhh ihihh,0
30,ihhihiihhhh iiihiihhih,1
31,ihhhiii hih,0
32,iihhiih iihhh,1
33,hiihihih iih,0
34,ihii iiiihhhhh,0
35,ihihih iihhihiii,1
36,hhihi iih,1
37,hhiihi iiiii,1
38,hhihih iihhhhiii,1
39,hihhhhhhii hhiiihh,1
40,hhhhiii ihhhihi,1
41,hiihiiihihihih hhhhhhhhi,0
42,hhihhiihiihi hhiiihhhi,1
43,hhihiihhiii hhhiiih,0
44,iiiih hhhiihihh,0
45,hiihiihiiiiih hii,0
46,ihii ihiihhi,1
47,hhhihhhhihiihi hihhhiii,0
48,hhiihhihhhhii ihhihiihi,0
49,iihhhiiii ihhh,0
50,hiii iiiiiihh,0
51,hhhhiihihhih ihihiih,0
52,ihhhhhi iihihhhihi,1
53,hhihhhihiih hhhihii,0
54,iihihiih iiiihhhii,1
55,iihh iiiihhhhih,0
56,iihiihihhihhhh hhhhiiih,0
57,ihihhihi hhhi,0
58,iiih hhhhhihih,0
59,iiiiii ihiiihihhh,0
60,iihhhiii ihh,0
61,hhhhhhihiiih iihhhhiih,1
62,hhiihhh hhih,1
63,iiiiihihihhhhi iihihhh,0
64,hhihihihiiiii iihhh,0
65,ihhiih iihi,1
66,iihiihhihi hiiih,0
67,ihhhih hii,1
68,hhiiihhii hiihh,0
69,ihhhhhih iihhi,1
70,iiiiiihihhh hhihh,0
71,iihiihhhhihi ihhiih,0
72,ihihhiiihihi iihhhiiii,1
73,hiiihhhhhi iiiihiihhi,1
74,hiii hhihhhh,1
75,hhhiihihi iii,0
76,hiihhiiiii hih,0
77,hiiiiih iihhh,1
78,iihihh hhhi,1
79,hiihhhhhhihhhh iihhih,0
80,hhiiiiii iihhiiiihi,1
81,hhiiihhhiii ihh,0
82,hhihiihiiih hiihhiii,1
83,hhiihhihhii ihhhh,0
84,iiihihih hii,0
85,iiihiiiih hihiihhi,1
86,ihihihiihihih ihhiiih,0
87,hiihhh iihh,1
88,hiihhiih iiihhiih,1
89,ihiihhiiihihh hii,0
90,ihhhh hiii,1
91,hiiih ihih,1
92,hiiihiiiiihi hhihihhhi,1
93,hihhihhhhi ihiiiihhi,1
94,hhhhhiiihhi iihiihhh,1
95,iiiihihihiih hihihihii,1
96,hhihiiih ihhihhhihh,1
97,hiih hihih,1
98,ihhhhhhhhihhh iihhii,0
99,hhihii hihhh,1
