x,y,Label
-80,50,0
-13,40,1
26,78,1
-66,-16,0
-22,25,0
55,-94,1
-57,58,0
-44,-54,0
-56,-77,0
95,-4,1
-13,65,1
57,-37,1
14,-73,0
-45,-60,0
54,52,1
-83,39,0
24,-64,0
-79,47,0
-73,33,0
60,32,1
-19,77,1
-24,58,1
-61,22,0
-54,57,0
62,-23,1
79,-16,1
-46,-59,0
86,62,1
-38,-51,0
-95,76,0
57,-18,1
85,-31,1
93,-21,1
-75,-97,0
89,77,1
80,-60,1
-63,60,0
18,10,1
95,-98,1
12,-80,0
-37,-58,0
-56,-16,0
-29,27,0
-88,34,0
99,-6,1
92,-16,1
75,-19,1
-14,42,1
20,42,1
73,-96,1
-41,-37,0
99,36,1
11,26,1
2,32,1
-68,40,0
-7,24,1
-19,-42,0
57,62,1
-48,-68,0
-64,7,0
69,73,1
-100,66,0
9,-44,0
42,76,1
46,-26,1
-98,86,0
-98,55,0
94,-73,1
-43,60,0
64,-7,1
96,93,1
-58,-6,0
-25,-35,0
-78,6,0
70,-56,1
1,-33,0
-78,43,0
61,-84,1
81,-28,1
-55,53,0
91,-21,1
-53,9,0
12,28,1
-49,-35,0
-42,-13,0
-59,-59,0
-23,-97,0
75,9,1
40,38,1
-47,100,1
-53,8,0
-77,-89,0
56,93,1
-30,48,0
95,-49,1
4,13,1
-93,-96,0
-59,-72,0
14,-18,1
18,4,1
-46,76,0
49,-30,1
6,-25,0
52,-71,1
-53,16,0
-1,84,1
7,38,1
-57,93,0
49,-19,1
11,19,1
-90,79,0
59,-82,1
-76,0,0
-48,-39,0
-23,55,1
2,-60,0
43,98,1
-81,50,0
-55,59,0
94,-63,1
-40,5,0
60,-66,1
91,-2,1
-100,52,0
-3,56,1
-47,-81,0
-55,43,0
17,21,1
47,56,1
20,87,1
53,-76,1
76,8,1
-62,53,0
-23,-78,0
12,94,1
-16,50,1
-16,-61,0
-99,39,0
-8,31,1
71,29,1
-60,97,0
10,-7,1
82,-16,1
25,-29,1
-89,18,0
-67,-85,0
68,-56,1
-9,-20,0
-58,27,0
29,-18,1
-58,-53,0
-12,56,1
-33,44,0
-63,-33,0
24,49,1
53,-10,1
-29,8,0
93,-69,1
-82,-90,0
-95,31,0
43,90,1
-64,-32,0
98,-67,1
-54,14,0
63,-6,1
-87,-1,0
-91,-79,0
-59,5,0
70,-90,1
-26,66,1
37,94,1
84,49,1
81,-41,1
73,61,1
-88,-10,0
-89,-16,0
-61,-79,0
-36,-59,0
-84,85,0
-36,-56,0
-90,-58,0
-85,11,0
-81,72,0
-100,36,0
89,12,1
-77,44,0
13,-87,0
95,34,1
-58,-87,0
-15,-83,0
-86,76,0
-25,-74,0
24,-88,0
41,-63,1
-11,49,1
-67,4,0
85,-36,1
-23,-3,0
68,-66,1
94,100,1
-41,64,0
-49,90,0
31,-42,1
-58,-84,0
57,-94,1
-5,-93,0
32,-90,0
38,-28,1
-93,92,0
79,71,1
-24,29,0
41,-89,0
-100,23,0
98,-5,1
-34,4,0
-52,-9,0
10,-97,0
-84,-8,0
35,-96,0
82,38,1
-20,92,1
-54,93,0
-14,-8,0
-9,-49,0
14,-71,0
-45,43,0
88,80,1
53,-11,1
-38,-63,0
84,-77,1
-26,68,1
25,-28,1
83,85,1
88,-53,1
-55,-65,0
-74,53,0
-78,1,0
72,46,1
61,50,1
97,-20,1
-18,-89,0
-7,65,1
49,86,1
31,88,1
-51,79,0
59,30,1
66,4,1
98,89,1
-37,-69,0
55,70,1
74,-48,1
46,39,1
-39,-92,0
65,-29,1
98,-28,1
78,79,1
10,39,1
-81,-97,0
-17,69,1
5,48,1
74,-59,1
53,-69,1
-14,-23,0
-70,-59,0
-72,88,0
94,73,1
8,-93,0
47,39,1
-73,65,0
56,84,1
-17,-55,0
30,-90,0
93,96,1
-47,19,0
20,87,1
23,-36,1
-65,33,0
