Количество ушей,Наличие носа,Цвет глаз,Длина головы,Длина туловища,Длина ног,Является красивым?
4,1,Оранжевый,16,29,44,0
2,1,Жёлтый,15,35,45,1
0,0,Белый,20,25,47,1
5,0,Бордовый,20,27,46,0
5,1,Салатовый,17,28,40,0
1,0,Белый,17,35,49,1
1,1,Жёлтый,15,26,44,1
2,1,Жёлтый,18,25,47,1
5,0,Белый,15,36,50,1
1,1,Белый,19,32,47,0
0,0,Оранжевый,15,23,44,1
3,1,Белый,16,38,43,0
1,1,Белый,17,32,42,0
1,0,Белый,17,25,47,0
2,1,Жёлтый,18,40,49,1
2,0,Салатовый,19,31,44,0
5,0,Оранжевый,16,32,40,0
0,0,Белый,18,39,44,1
5,0,Салатовый,20,35,42,0
0,0,Белый,15,37,45,1
3,1,Оранжевый,17,36,40,0
3,0,Оранжевый,17,38,42,0
4,0,Бордовый,17,31,45,0
1,1,Салатовый,16,34,46,0
5,1,Оранжевый,19,27,40,0
2,1,Белый,15,21,48,0
3,1,Оранжевый,18,40,42,0
3,0,Салатовый,18,22,40,0
3,1,Бордовый,15,21,40,0
2,1,Белый,20,35,46,1
1,0,Жёлтый,15,39,50,1
1,0,Бордовый,20,35,44,0
0,1,Салатовый,17,28,42,0
4,0,Белый,15,22,48,0
0,1,Салатовый,16,24,42,0
3,1,Бордовый,19,30,50,0
0,1,Бордовый,19,39,47,1
0,1,Салатовый,18,33,43,0
1,0,Салатовый,18,32,50,0
5,1,Оранжевый,15,40,44,0
2,1,Оранжевый,15,22,50,0
1,0,Оранжевый,19,29,44,0
0,1,Белый,19,37,47,1
4,0,Бордовый,18,39,46,1
3,0,Бордовый,20,38,49,1
2,0,Оранжевый,16,29,44,0
2,0,Оранжевый,18,35,42,0
5,1,Жёлтый,16,27,43,1
4,1,Жёлтый,18,31,42,1
3,0,Бордовый,17,31,48,0
1,1,Белый,15,20,48,0
3,1,Жёлтый,17,37,43,1
4,1,Бордовый,18,40,47,1
1,0,Бордовый,16,35,49,0
2,0,Салатовый,16,35,42,0
5,0,Белый,16,27,50,0
3,0,Салатовый,16,37,44,0
2,1,Жёлтый,20,34,42,1
3,1,Жёлтый,20,33,40,1
0,1,Белый,20,29,43,0
1,0,Оранжевый,20,26,40,0
4,1,Оранжевый,17,20,44,0
1,0,Салатовый,19,22,43,0
4,0,Оранжевый,19,20,49,0
5,0,Салатовый,19,30,48,0
5,0,Жёлтый,18,40,43,1
1,0,Бордовый,20,40,40,0
3,0,Оранжевый,18,27,44,0
4,0,Оранжевый,20,24,50,0
5,0,Оранжевый,17,36,48,1
0,0,Оранжевый,19,27,40,1
2,1,Оранжевый,18,39,50,1
1,0,Бордовый,16,40,44,0
1,0,Жёлтый,20,29,44,1
0,1,Белый,15,39,41,0
0,0,Оранжевый,15,26,47,1
2,1,Салатовый,20,36,46,1
0,0,Оранжевый,16,39,46,1
1,0,Оранжевый,20,31,50,1
4,1,Жёлтый,15,25,49,1
1,1,Белый,20,25,43,0
5,0,Бордовый,17,40,46,1
3,1,Бордовый,19,35,50,1
2,0,Салатовый,18,24,47,0
4,1,Оранжевый,18,40,49,1
0,0,Салатовый,16,24,46,1
2,0,Жёлтый,19,20,41,1
1,1,Оранжевый,18,37,41,0
1,0,Бордовый,15,37,43,0
2,1,Оранжевый,19,37,45,1
0,0,Салатовый,16,23,45,1
2,1,Бордовый,19,34,40,0
0,1,Белый,20,38,50,1
4,1,Оранжевый,15,25,44,0
0,1,Бордовый,20,25,49,0
1,0,Оранжевый,19,34,43,0
1,1,Оранжевый,17,37,41,0
2,0,Жёлтый,19,39,40,1
4,1,Жёлтый,16,32,41,1
5,0,Жёлтый,20,39,45,1
0,1,Жёлтый,18,33,46,1
4,0,Салатовый,20,25,46,0
4,0,Бордовый,17,24,45,0
4,1,Салатовый,18,36,41,0
0,0,Бордовый,20,40,43,1
2,1,Оранжевый,18,25,49,0
1,0,Белый,20,20,42,0
4,1,Салатовый,16,31,44,0
1,0,Белый,16,31,46,0
3,0,Бордовый,19,25,48,0
5,1,Белый,20,40,43,1
1,1,Оранжевый,16,39,50,1
0,0,Белый,20,27,40,1
1,0,Салатовый,20,35,48,1
4,1,Белый,15,27,50,0
2,1,Оранжевый,20,25,43,0
4,0,Жёлтый,19,20,45,1
0,0,Белый,17,32,43,1
2,0,Салатовый,15,34,44,0
1,1,Белый,18,20,47,0
1,1,Белый,19,35,50,1
2,1,Бордовый,15,34,43,0
3,1,Салатовый,16,33,44,0
3,0,Белый,18,31,43,0
0,1,Белый,19,27,41,0
2,0,Жёлтый,16,25,42,1
3,1,Бордовый,18,32,47,0
2,0,Оранжевый,18,26,44,0
0,1,Бордовый,16,29,40,0
4,1,Жёлтый,17,36,50,1
5,1,Бордовый,16,28,44,0
3,0,Салатовый,20,30,45,0
5,1,Салатовый,15,34,41,0
2,1,Салатовый,17,36,46,0
0,1,Оранжевый,17,35,44,0
0,1,Бордовый,19,24,43,0
0,1,Салатовый,17,23,44,0
1,1,Бордовый,20,21,50,0
4,1,Салатовый,16,35,49,0
0,1,Салатовый,15,30,42,0
1,0,Оранжевый,15,29,47,0
2,1,Салатовый,17,25,44,0
1,1,Жёлтый,19,32,47,1
3,0,Оранжевый,20,22,42,0
3,0,Салатовый,15,28,48,0
2,0,Белый,19,36,48,1
5,1,Оранжевый,20,21,46,0
4,1,Бордовый,18,39,44,1
4,1,Жёлтый,16,24,41,1
4,0,Бордовый,19,23,45,0
4,0,Салатовый,16,24,43,0
2,0,Жёлтый,19,34,48,1
1,0,Бордовый,18,24,43,0
