День обнаружения,Месяц обнаружения,Год,Число лепестков,Длина стебля,Цвет лепестков,Наличие пестика
15,Август,2010,3,9,Синий,0
23,Август,2012,12,144,Синий,1
28,Май,2016,12,144,Синий,1
6,Август,2016,16,256,Синий,1
15,Июнь,2012,7,49,Синий,0
12,Июль,2016,8,64,Синий,1
12,Июль,2011,7,49,Синий,0
26,Июль,2017,11,121,Синий,0
14,Июль,2012,13,169,Синий,0
23,Август,2012,14,196,Синий,1
26,Июль,2012,15,225,Синий,0
12,Август,2011,9,81,Синий,0
8,Июнь,2016,14,196,Синий,1
16,Январь,2011,10,100,Желтый,1
6,Июнь,2016,11,121,Синий,0
16,Август,2011,14,196,Синий,1
13,Июнь,2012,15,225,Синий,0
26,Январь,2017,6,36,Желтый,1
24,Май,2017,12,144,Синий,1
15,Июль,2011,16,256,Синий,1
18,Январь,2017,11,121,Желтый,0
14,Июль,2011,14,196,Синий,1
23,Август,2016,4,16,Синий,1
11,Январь,2012,2,4,Желтый,1
24,Май,2010,17,289,Синий,0
23,Май,2010,11,121,Синий,0
24,Август,2010,13,169,Синий,0
17,Август,2011,3,9,Синий,0
28,Июль,2012,10,100,Синий,1
12,Май,2012,17,289,Синий,0
5,Август,2017,2,4,Синий,1
23,Август,2016,3,9,Синий,0
8,Август,2010,15,225,Синий,0
18,Август,2011,8,64,Синий,1
10,Июнь,2012,12,144,Синий,1
24,Январь,2011,16,256,Желтый,1
7,Август,2016,16,256,Синий,1
20,Июнь,2010,14,196,Синий,1
12,Январь,2011,6,36,Желтый,1
3,Июль,2017,2,4,Синий,1
2,Июль,2016,14,196,Синий,1
10,Июнь,2011,4,16,Синий,1
21,Январь,2010,17,289,Желтый,0
25,Январь,2017,15,225,Желтый,0
19,Август,2012,9,81,Синий,0
19,Май,2016,11,121,Синий,0
9,Июнь,2010,3,9,Синий,0
4,Июнь,2010,11,121,Синий,0
1,Июнь,2012,14,196,Синий,1
28,Август,2016,7,49,Синий,0
9,Июль,2017,10,100,Синий,1
14,Май,2010,8,64,Синий,1
3,Август,2010,14,196,Синий,1
23,Июнь,2012,11,121,Синий,0
3,Январь,2017,11,121,Желтый,0
3,Июнь,2017,10,100,Синий,1
23,Август,2017,4,16,Синий,1
22,Июль,2010,7,49,Синий,0
3,Август,2011,12,144,Синий,1
26,Июнь,2017,8,64,Синий,1
