Дата,Месяц,Год,Наименование товара,Модель,Вид операции,Город,Магазин,Цвет,Финансовый баланс  (тугрики)
1,Август,2016,Утюг,Lastochka,Продажа,Москва,ЦУМ,Розовый,200
3,Август,2016,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
7,Август,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
11,Август,2016,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Белый,500
11,Август,2016,Электрический звонок,IZvon 9,Возврат,Барабинск,Электромаг,Розовый,-1000
11,Август,2016,Электрический звонок,IZvon 9,Продажа,Барабинск,Электромаг,Розовый,1000
15,Август,2016,Электрический звонок,IZvon 9,Продажа,Барабинск,Электромаг,Розовый,1000
16,Август,2016,Портативная атомная станция,1,Продажа,Владивосток,Океан электроники,Розовый,500
17,Август,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
17,Август,2016,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Розовый,500
17,Август,2016,Портативная атомная станция,100500,Продажа,Владивосток,Океан электроники,Розовый,500
17,Август,2016,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Белый,-1050
20,Август,2016,Печатная машинка,Super pro,Продажа,Москва,ЦУМ,Розовый,500
24,Август,2016,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Розовый,500
27,Август,2016,Утюг,Lastochka,Продажа,Москва,ЦУМ,Черный,200
29,Август,2016,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Черный,200
29,Август,2016,Электрический звонок,IZvon 9,Продажа,Барабинск,Электромаг,Черный,1000
29,Август,2016,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
29,Август,2016,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
29,Август,2016,Утюг,Lastochka,Возврат,Барабинск,Электромаг,Розовый,-200
1,Апрель,2016,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
4,Апрель,2016,Электрический звонок,IZvon 9,Продажа,Барабинск,Электромаг,Розовый,999
7,Апрель,2016,Утюг,Lastochka,Возврат,Сан-Франциско,Океан электроники,Розовый,-200
7,Апрель,2016,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Черный,200
8,Апрель,2016,Электрический звонок,IZvon 9,Продажа,Сан-Франциско,Океан электроники,Розовый,999
17,Апрель,2016,Портативная атомная станция,1,Продажа,Барабинск,Электромаг,Черный,500
1,Декабрь,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
1,Декабрь,2016,Портативная атомная станция,100500,Продажа,Сан-Франциско,Океан электроники,Черный,500
1,Декабрь,2016,Портативная атомная станция,1,Продажа,Барабинск,Электромаг,Розовый,500
1,Декабрь,2016,Портативная атомная станция,100500,Продажа,Сан-Франциско,Океан электроники,Черный,500
1,Декабрь,2016,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Розовый,-1050
1,Декабрь,2016,Портативная атомная станция,100500,Продажа,Москва,ЦУМ,Розовый,500
2,Декабрь,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
2,Декабрь,2016,Портативная атомная станция,100500,Продажа,Сан-Франциско,Океан электроники,Розовый,500
3,Декабрь,2016,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
8,Декабрь,2016,Портативная атомная станция,100500,Продажа,Сан-Франциско,Океан электроники,Розовый,500
8,Декабрь,2016,Утюг,Lastochka,Продажа,Москва,ЦУМ,Розовый,200
10,Декабрь,2016,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Белый,-1050
